school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,G1,G2,G3
GP,M,15,R,GT3,T,4,3,teacher,at_home,17,16,16
GP,F,16,U,LE3,T,2,2,other,at_home,10,10,9
GP,M,15,U,LE3,T,1,2,other,at_home,9,10,9
GP,F,16,U,GT3,T,4,3,other,at_home,7,9,8
GP,F,15,U,GT3,T,4,4,services,at_home,11,0,0
GP,M,19,U,GT3,T,3,2,services,at_home,5,0,0
GP,M,19,U,LE3,A,4,3,services,at_home,11,11,11
GP,F,18,U,LE3,T,2,1,services,at_home,12,12,13
GP,F,18,U,GT3,T,2,4,services,at_home,14,12,12
GP,F,19,R,GT3,A,3,1,services,at_home,14,13,13
MS,F,17,U,GT3,T,2,2,other,at_home,13,11,11
MS,F,18,R,GT3,T,4,4,teacher,at_home,6,5,6
MS,M,19,U,LE3,T,1,1,other,at_home,8,9,9
GP,M,15,R,GT3,T,4,3,teacher,at_home,13,14,15
GP,F,16,U,LE3,T,2,2,other,at_home,10,11,11
GP,M,15,U,LE3,T,1,2,other,at_home,14,13,14
GP,F,16,U,GT3,T,4,3,other,at_home,12,13,13
GP,F,15,U,GT3,T,4,4,services,at_home,13,14,15
GP,M,19,U,GT3,T,3,2,services,at_home,11,9,11
GP,M,18,U,GT3,T,2,2,other,at_home,7,8,8
GP,F,18,U,LE3,T,1,1,other,at_home,11,12,14
GP,M,19,U,LE3,A,4,3,services,at_home,11,13,14
GP,F,17,U,GT3,T,3,1,other,at_home,10,13,13
MS,F,17,U,GT3,T,2,2,other,at_home,9,9,10
MS,F,17,U,GT3,T,0,1,other,at_home,9,9,10
MS,M,17,U,GT3,T,3,3,services,at_home,10,11,10
MS,F,16,U,GT3,T,3,2,services,at_home,7,6,7
MS,F,18,U,LE3,T,1,1,other,at_home,9,8,10
MS,M,16,R,LE3,T,4,1,other,at_home,10,11,11
MS,M,16,R,LE3,T,1,2,other,at_home,9,10,11
MS,F,16,U,GT3,A,3,2,services,at_home,5,5,7
MS,F,17,U,GT3,T,1,1,other,at_home,7,9,10
MS,F,17,R,LE3,A,3,1,other,at_home,8,7,8
MS,F,17,U,GT3,T,4,1,health,at_home,8,10,9
MS,F,18,U,GT3,T,2,2,services,at_home,12,13,14
MS,F,17,U,GT3,T,2,2,other,at_home,10,11,12
MS,F,18,R,GT3,T,4,4,teacher,at_home,7,9,10
